No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
2,Regulated Market,Prime Standard,Prime Standard,HENSOLDT AG,DE000HAG0005,HAG,Germany,NI,Information Technology,Technology,Semiconductors,yes,25/09/2020,"Joint Global Coordinators:<br>  BofA Securities, J.P. Morgan, KKR Capital Markets, Deutsche Bank  <br><br>  Joint Bookrunners:<br>  COMMERZBANK, Citigroup, UniCredit Bank AG, Crédit Agricole CIB  <br><br>  Co-Manager:<br>  Mizuho International plc     (Lead Manager: BofA Securities, J.P. Morgan, KKR Capital Markets, Deutsche Bank)",Bookbuilding Procedure,12.00 - 16.00,12,12,"459,999,996.00",,"33,333,333","25,000,000","13,333,333","5,000,000",,"105,000,000","1,260,000,000.00","400,050,000.00"
3,Regulated Market,Prime Standard,Prime Standard,Knaus Tabbert AG,DE000A2YN504,KTA,Germany,NI,Consumer Goods,Automobile,Automobile Manufacturers,yes,23/09/2020,Sole Global Coordinator and Joint Bookrunner:<br>  Jefferies  <br><br>  Joint Bookrunners:<br>  UniCredit Bank AG ABN AMRO   (Lead Manager: Jefferies),Bookbuilding Procedure,58.00 - 74.00,58,58,"232,000,000.00","30,260,862.00","3,478,261","350,000","3,650,000","521,739",,"10,377,259","601,881,022.00","201,690,330.00"
4,Regulated Market,Prime Standard,Prime Standard,Brockhaus Capital Management AG,DE000A2GSU42,BKHT,Germany,PP,Information Technology,Technology,Electronic Components & Hardware,yes,14/07/2020,Joint Global Coordinators & Joint Bookrunners<br>  Citigroup; Jefferies  <br><br>    Joint Bookrunner<br>  Commerzbank   (Lead Manager: Citigroup; Jefferies ),Fixed Price Procedure,,32,36.55,"115,000,000.00","15,000,000.00","3,593,750","3,593,750",,"468,750","468,750","10,368,808","379,637,832.00","196,728,324.00"
5,Regulated Market,Prime Standard,Prime Standard,PharmaSGP Holding SE,DE000A2P4LJ5,PSG,Germany,NI,Pharma & Healthcare,Pharma & Healthcare,Pharmaceuticals,yes,19/06/2020,Sole Global Coordinator & Sole Bookrunner:<br>  Berenberg (Lead Manager: Berenberg),Bookbuilding Procedure,31.50 - 36.50,31.5,32,"126,787,500.00",,"3,500,000",,"4,025,000","525,000",,"12,000,000","384,000,000.00","112,012,800.00"
6,Open Market,Scale,Scale,EXASOL AG,DE000A0LR9G9,EXL,Germany,NI,Information Technology,Software,Software,yes,25/05/2020,Sole Global Coordinator & Sole Bookrunner:<br>  Hauck & Aufhäuser Privatbankiers Aktiengesellschaft  (Lead Manager: Hauck & Aufhäuser Privatbankiers Aktiengesellschaft ),Bookbuilding Procedure,8.50 - 10.50,9.5,14,"87,449,875.00","10,167,375.00","9,205,250","5,100,000","4,105,250","1,070,250","1,070,250","22,217,870","311,050,180.00","97,607,546.00"
9,Regulated Market,Prime Standard,Prime Standard,TeamViewer AG,DE000A2YN900,TMV,Germany,NI,Information Technology,Software,Software,yes,25/09/2019,"Joint Global Coordinators and Joint Bookrunners:<br>  Goldman Sachs International, Morgan Stanley  <br><br>  Joint Bookrunners:<br>  BofA Merrill Lynch, Barclays  <br><br>  Co-Lead Manager:<br>  RBC Capital Markets (Lead Manager: Goldman Sachs International, Morgan Stanley)",Bookbuilding Procedure,23.50 - 27.50,26.25,26.25,"1,973,475,000.00","4,725,000.00","75,180,000",,"75,180,000","9,000,000","180,000","200,000,000","5,250,000,000.00","1,968,750,000.00"
10,Regulated Market,Prime Standard,Prime Standard,Global Fashion Group S.A.,LU2010095458,GFG,Grand Duchy of Luxembourg,NI,Consumer Services,Retail,"Retail, Internet",yes,2/7/2019,"Joint Global Coordinators:<br>  Goldman Sachs International, Morgan Stanley, Berenberg   <br><br>  Joint Bookrunner:<br>  HSBC (Lead Manager: Goldman Sachs International, Morgan Stanley, Berenberg)",Fixed Price Procedure,,4.5,4.47,"194,445,000.00","14,445,000.00","43,210,000","43,210,000",,"4,000,000","3,210,000","212,629,274","950,452,854.78","173,267,555.42"
11,Regulated Market,Prime Standard,Prime Standard,TRATON SE,DE000TRAT0N7,8TRA,Germany,DL,Industrials,Industrial,Heavy Machinery,yes,28/06/2019,"Joint Global Coordinators:<br>  Citigroup, Deutsche Bank, Goldman Sachs International, J.P. Morgan<br><br>    Joint Bookrunners:<br>  BofA Merrill Lynch, Barclays, BNP PARIBAS, SEB, UniCredit Bank AG<br><br>    Co-Lead Managers:<br>  COMMERZBANK, HSBC, Société Générale, Landesbank Baden-Württemberg (Lead Manager: Citigroup, Deutsche Bank, Goldman Sachs International, J.P. Morgan)",Bookbuilding Procedure,27.00 - 33.00,27,27,"1,387,159,425.00","37,159,425.00","51,376,275",,"51,376,275","7,500,000","1,376,275","500,000,000","13,500,000,000.00","139,500,000.00"
12,Regulated Market,General Standard,General Standard,Frequentis AG,ATFREQUENT09,FQT,Austria,DL,Information Technology,Technology,Communications Technology,yes,14/05/2019,"Joint Bookrunners & Joint Lead Managers:<br>  Commerzbank, flatex Bank AG (Lead Manager: COMMERZBANK, flatex Bank AG)",Bookbuilding Procedure,18.00 - 21.00,18,17.9,"54,000,000.00",,"2,700,000","1,200,000","1,800,000","300,000",,"13,200,000","236,280,000.00","71,710,980.00"
1,Regulated Market,Prime Standard,Prime Standard,Siemens Energy AG,DE000ENER6Y0,ENR,Germany,LI,Industrials,Industrial,"Industrial, Diversified",yes,28/09/2020,"Lead Financial Advisors & Listing Agents:<br>  BNP PARIBAS, BofA Securities, COMMERZBANK, Credit Suisse, Deutsche Bank, Goldman Sachs Bank Europe SE, J.P. Morgan  <br><br>  Co-Advisors:<br>  Berenberg, HSBC, Jefferies (Lead Manager: BNP PARIBAS, BofA Securities, COMMERZBANK, Credit Suisse, Deutsche Bank, Goldman Sachs Bank Europe SE, J.P. Morgan)",,,,22.01,,,"726,645,193",,,,,"726,645,193","15,993,460,697.93","8,796,403,383.86"
